제품코드,제품명,성분코드,성분명,1일최대투여량,1일최대 투여기준량,점검기준 성분함량 (총함량),급여구분,공고번호,공고일자
669501370,컨덴시아정15밀리그램(클로미프라민염산염)_(15mg/1정),136304ATB,Clomipramine,클로미프라민염산염 15mg,15,15,비급여,20210599,2021-12-16
670606490,네노마정15밀리그램(클로미프라민염산염)_(15mg/1정),136304ATB,Clomipramine,클로미프라민염산염 15mg,15,15,비급여,20210599,2021-12-16
653402820,줄리안정15밀리그램(클로미프라민염산염)_(15mg/1정),136304ATB,Clomipramine,클로미프라민염산염 15mg,15,15,비급여,20210599,2021-12-16
650302970,클로잭정(클로미프라민염산염)_(15mg/1정),136304ATB,Clomipramine,클로미프라민염산염 15mg,15,15,비급여,20210599,2021-12-16
626502050,이브400원큐에스연질캡슐(이부프로펜)_(0.4g/1캡슐),172806ACS,Ibuprofen,"이부프로펜 3,200mg",3200,400,비급여,20210599,2021-12-16
648604850,이부센연질캡슐(이부프로펜)_(0.4g/1캡슐),172806ACS,Ibuprofen,"이부프로펜 3,200mg",3200,400,비급여,20210599,2021-12-16
654305480,큐센400이부프로펜연질캡슐_(0.4g/1캡슐),172806ACS,Ibuprofen,"이부프로펜 3,200mg",3200,400,비급여,20210599,2021-12-16
646803220,건일이부프로펜연질캡슐400밀리그램_(0.4g/1캡슐),172806ACS,Ibuprofen,"이부프로펜 3,200mg",3200,400,비급여,20210599,2021-12-16
649002010,렉스프람정10밀리그램(에스시탈로프람옥살산염)_(12.77mg/1정),474802ATB,Escitalopram,에스시탈로프람 20mg,20,10,급여,20210599,2021-12-16
669501790,로자인플러스에프정_(1정),378900ATB,Losartan/Hydrochlorothiazide,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100,100,급여,20210599,2021-12-16
641904710,비알살탄플러스에프정_(1정),378900ATB,Losartan/Hydrochlorothiazide,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100,100,급여,20210599,2021-12-16
694001190,베아로탄플러스에프정_(1정),378900ATB,Losartan/Hydrochlorothiazide,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100,100,급여,20210599,2021-12-16
656204870,로사틴플러스에프정_(1정),378900ATB,Losartan/Hydrochlorothiazide,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100,100,급여,20210599,2021-12-16
649104570,로사르플러스에프정_(1정),378900ATB,Losartan/Hydrochlorothiazide,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100,100,급여,20210599,2021-12-16
